GUID;complete;media_language;srt_language;last_changed_on_amara;revision;url;touched;amara_key;amara_language
4fff6281-e452-4d64-bf9a-bc677614776a;False;eng;en;2020-01-04T11:49:24Z;6;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9579-eng-deu-Attacking_Chrome_IPC.en.srt;2020-03-22T17:21:25Z;QYWwty0KH0lX;en
7030e406-2e1f-4d4d-8b1b-c68aa22a3434;True;deu;de;2020-01-04T11:50:39Z;6;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9973-deu-eng-spa-Freedom_needs_fighters.de.srt;2020-01-04T12:05:07Z;fdQcD1O1Ugba;de
020051ff-2594-46ce-b92a-0786743e4624;False;deu;de;2020-01-04T11:51:56Z;4;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9898-deu-eng-Mehr_schlecht_als_Recht_Grauzone_Sicherheitsforschung.de.srt;2020-01-04T12:00:40Z;SCw3y2htKM5e;de
bc545b26-8319-43fb-abc2-f624ef414ee8;False;eng;en;2020-01-04T11:52:58Z;5;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9926-eng-deu-The_year_in_post-quantum_crypto.en.srt;2020-01-04T11:54:32Z;bxNv3QJVqYfB;en
3e75c48f-3a58-4afe-bafb-0670dd2b15cc;False;eng;en;2020-01-04T11:53:55Z;7;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9965-eng-deu-What_is_Good_Technology.en.srt;2020-01-04T12:14:24Z;V3NrZnsFJLM2;en
2375222b-7dae-4bca-a5b0-aea227ab0d76;False;eng;en;2020-01-04T11:54:35Z;7;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9617-eng-deu-A_deep_dive_into_the_world_of_DOS_viruses.en.srt;2020-01-04T12:02:30Z;Za1HxLyhT0jf;en
2536bba3-b95f-4cec-9a95-7aa756db7edb;False;eng;en;2020-01-04T11:59:18Z;5;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9939-eng-deu-DISNOVATIONORG.en.srt;2020-01-04T12:01:41Z;vozSpq3qEvGB;en
9f8b19eb-31cb-4250-80d4-5caf4e0b33dd;False;eng;en;2020-01-04T12:00:34Z;5;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9979-eng-deu-fra-The_Laymans_Guide_to_Zero-Day_Engineering.en.srt;2020-01-04T12:03:26Z;e4EyTMrLOXf1;en
8943659a-536d-4afb-85de-f1b8b29a7902;True;eng;en;2020-01-04T12:03:23Z;37;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-10030-eng-deu-fra-The_Ghost_in_the_Machine.en.srt;2020-01-04T13:14:04Z;jCfUYRl5afFt;en
86b96f3f-a6b5-49c0-a189-69912c016916;False;eng;en;2020-01-04T12:04:24Z;9;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9492-eng-deu-Wallet_Security.en.srt;2020-01-04T12:25:19Z;xTqvkexF1vwv;en
c94fde2e-b5db-48f2-b94f-872ce7405875;True;deu;de;2020-01-04T12:06:05Z;5;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9590-deu-eng-fra-Schweiz_Netzpolitik_zwischen_Bodensee_und_Matterhorn.de.srt;2020-01-04T12:24:06Z;BK6DKPmC4QaN;de
948fee49-de6f-42b1-82f8-045af2aa155e;False;eng;en;2020-01-04T12:07:07Z;5;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9618-eng-deu-Jailbreaking_iOS.en.srt;2020-01-04T12:16:24Z;b34BsvlcK9di;en
c85de43e-107e-4247-b550-946f376e2ec4;False;eng;en;2020-01-04T12:08:18Z;7;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9463-eng-deu-fra-Attacking_end-to-end_email_encryption.en.srt;2020-01-04T12:13:31Z;GYNvRh2tWYyu;en
6e25dd44-763f-494b-bae5-75b409dcf1d0;False;deu;de;2020-01-04T12:23:01Z;9;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9658-deu-eng-ara-Computer_die_ueber_Asyl_mit_entscheiden.de.srt;2020-01-04T12:36:22Z;5Uu2TclCEoSE;de
74b9c748-970f-4693-ac7e-46fcc733d2b4;True;eng;en;2020-01-04T12:24:40Z;9;https://mirror.selfnet.de/c3subtitles/congress/35c3/35c3-9800-eng-deu-fra-How_to_teach_programming_to_your_loved_ones.en.srt;2020-01-04T12:44:07Z;dR9UiJ9eZEqA;en
